DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence*,Column1,Column2
2022-02-04,Friday,19:35:00,202202-0233,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.309006,9.300287,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
b.) One (1) PC elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu
c.) One (1) PC medium size self-sealing plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 3 grams with SDP value of Php 20,400.00; and
d.) One (1) genuine Five hundred Peso bill (Php 500.00).
e.) 4 pcs empty elongated heat-sealed transparent plastic sachet.
f.) One (1) pouch color light brown


",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-05,Saturday,0:30:00,Traf(137)007,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Highway,123.292,9.299535,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-06,Sunday,12:03:00,202202-0241,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 7 (Barangay 7),"Cruztelco Lot, Cervantes St., Corner Silliman Avenue",123.304871,9.310084,INDEX CRIME,Crime Against Person,MURDER,Murder,Hitting with hard object,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,Along the Roads/Streets/Alleys,,
2022-02-06,Sunday,17:35:00,202202-0242,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,Purok Ano,123.265259,9.283727,NON-INDEX CRIME,,OTHERNONINDEX,DISCHARGE OF FIREARMS - RPC Art 254, fired a gun in the air for consecutive times,,No,,Small Arms - Handgun (Pistol or Revolver),Cal. 38,,,CONFISCATED,Police Station / Officer,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-06,Sunday,17:35:00,202202-0243,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cantil-e,Purok Malipayon,123.265244,9.283716,NON-INDEX CRIME,,SPECIALLAWS,RA 10591 / 8294 (FIREARMS & EXPLOSIVES),Viol. of RA 10591 (Possession),,No,,Small Arms - Handgun (Pistol or Revolver),Cal. 38,,,CONFISCATED,Police Station / Officer,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-06,Sunday,17:35:00,202202-0243,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cantil-e,Purok Malipayon,123.265244,9.283716,NON-INDEX CRIME,,SPECIALLAWS,Viol. of Omnibus Election Code,Illegal Discharge of Firearm,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-07,Monday,13:00:00,202202-0255,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cadawinonan,,123.271729,9.304733,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

1.	One (1) piece heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as RRG-SW2-02/07/2022-1:00 pm Brgy. Cadawinonan MGB with signature; 
2.	One (1) piece improvised glass tooter marked as RRG-SW1-02/07/2022-12:39 pm Brgy. Cadawinonan MGB with signature;
3.	One (1) piece red pouch marked as RRG-SW3-02/07/2022-1:00 pm Brgy. Cadawinonan MGB with signature;
4.	Ten (10) pieces caliber .38 live ammunitions collectively marked as A-1;

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-07,Monday,18:00:00,202202-0257,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,"Purok Mauswagon, Sto.Niño",123.29068,9.269125,NON-INDEX CRIME,,OTHERNONINDEX,Trespassing,entered the complainants house,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences - Subdivision) - w/o Security Guard,,
2022-02-07,Monday,18:00:00,202202-0257,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,"Purok Mauswagon, Sto.Niño",123.29068,9.269125,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (General),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences - Subdivision) - w/o Security Guard,,
2022-02-03,Thursday,10:00:00,202202-0251,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,SSS,123.296913,9.300885,NON-INDEX CRIME,,OTHERNONINDEX,Estafa,Swindling,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,No,0,(Inside Residences) - Public Residential Area,,
2022-02-03,Thursday,9:00:00,202202-0252,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,SSS,123.296898,9.300922,NON-INDEX CRIME,,OTHERNONINDEX,Estafa,Swindling,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,No,0,(Inside Residences) - Public Residential Area,,
2022-02-02,Wednesday,9:00:00,202202-0253,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,SSS,123.296799,9.30084,NON-INDEX CRIME,,OTHERNONINDEX,Estafa,Swindling,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,No,0,(Inside Residences) - Public Residential Area,,
2022-02-08,Tuesday,10:00:00,Traf(137)008,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Philhealth,123.300064,9.320644,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-10,Thursday,13:45:00,202202-0268,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Pulantubig,,123.290054,9.324505,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal,created /provoked trouble,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-09,Wednesday,15:00:00,202202-0275,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Purok Mahigugmaon,123.290314,9.298778,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,(Inside Residences - Subdivision) - w/o Security Guard,,
2022-02-12,Saturday,0:58:00,202202-0277,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.308372,9.301621,NON-INDEX CRIME,,SPECIALLAWS,Viol. of Omnibus Election Code,Viol. of RA 10591 (Possession),,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,2,(Inside Residences) - Public Residential Area,,
2022-02-12,Saturday,0:58:00,202202-0277,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.308372,9.301621,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
b.) Two (2) pcs. elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu
c.) Two (2) pcs medium size heat sealed transparent plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 3.5 grams with SDP value of Php 23,800.00; and
d.) One (1) genuine Five hundred Peso bill (Php 500.00).
e.) One (1) unit COLT P7 caliber .45 withcerial number 387913
f.) One (1) pc magazine.
g.) Five (5) pcs cal. 45 live ammunitions.


",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,2,(Inside Residences) - Public Residential Area,,
2022-02-12,Saturday,0:58:00,202202-0277,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.308372,9.301621,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
b.) Two (2) pcs. elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu
c.) Two (2) pcs medium size heat sealed transparent plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 3.5 grams with SDP value of Php 23,800.00; and
d.) One (1) genuine Five hundred Peso bill (Php 500.00).
e.) One (1) unit COLT P7 caliber .45 withcerial number 387913
f.) One (1) pc magazine.
g.) Five (5) pcs cal. 45 live ammunitions.


",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,2,(Inside Residences) - Public Residential Area,,
2022-02-11,Friday,21:15:00,Traf(137)009,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Fronting Breadcamp,123.302872,9.299508,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-12,Saturday,14:00:00,202202-0287,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311844,9.316073,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards color combination Blue and Red; and
b.) Bet money amounting to Two Hundred Seventy Pesos (Php 270.00).	

",Php 270.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-02-12,Saturday,14:40:00,202202-0288,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.312073,9.315564,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Piyat-piyat,"


	Confiscated pieces of evidence were:
		a.) 1 Set playing cards color combination Blue and Red; and
b.) Bet money amounting to Two Hundred Seventy Pesos (Php 270.00).	

",Php 270.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,4,(Inside Residences) - Public Residential Area,,
2022-02-12,Saturday,15:20:00,202202-0289,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.312286,9.315702,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards color combination Green and Red; and
b.) Bet money amounting to Two Hundred Fifty Pesos (Php 250.00).	

",Php 250.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-02-13,Sunday,17:30:00,202202-0308,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,,123.30854,9.300657,NON-INDEX CRIME,,OTHERNONINDEX,Unjust Vexation,maliciously touched her breast,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-04,Friday,14:00:00,202202-0310,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,SSS,123.296791,9.30085,NON-INDEX CRIME,,OTHERNONINDEX,Estafa,Swindling,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,No,0,(Inside Residences) - Public Residential Area,,
2022-02-17,Thursday,10:40:00,202202-0327,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Tabuctubig,Purok Balatong,123.303017,9.301226,NON-INDEX CRIME,,HOMICIDE,Attempted Homicide,Stabbing/Hacking - H,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences - Subdivision) - w/o Security Guard,,
2022-02-20,Sunday,21:02:00,202202-0351,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cadawinonan,Purok Lower Star Apple,123.271889,9.304553,NON-INDEX CRIME,,SPECIALLAWS,USURPATION OF AUTHORITY OR OFFICIAL FUNCTIONS  - RPC Art. 177,,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences - Subdivision) - w/o Security Guard,,
2022-02-22,Tuesday,15:28:00,202202-0367,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Mutya,123.308968,9.300253,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); and
b.) six (6) pcs. elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 3 grams with SDP value of Php 20,400.00; and
c.) One (1) genuine Five hundred Peso bill (Php 500.00).

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,2,(Inside Residences) - Public Residential Area,,
2022-02-22,Tuesday,15:28:00,202202-0367,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Mutya,123.308968,9.300253,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); and
b.) six (6) pcs. elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 3 grams with SDP value of Php 20,400.00; and
c.) One (1) genuine Five hundred Peso bill (Php 500.00).

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,2,(Inside Residences) - Public Residential Area,,
2022-02-23,Wednesday,22:30:00,Traf(138)010,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,,123.283562,9.296316,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-24,Thursday,11:20:00,Traf(138)011,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,"Valencia Road, Sto. Rosario Heights",123.285004,9.296962,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-24,Thursday,11:20:00,Traf(138)011,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,"Valencia Road, Sto. Rosario Heights",123.285004,9.296962,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-24,Thursday,13:00:00,Traf(138)012,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cadawinonan,Corner Cadawinonan Housing,123.269714,9.305093,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,Yes (not rel. to RA 7610),,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-24,Thursday,13:50:00,202202-0379,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 2 (Barangay 2),Upper Lukewright,123.306778,9.302616,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-02-24,Thursday,13:50:00,202202-0379,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 2 (Barangay 2),Upper Lukewright,123.306778,9.302616,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-02-25,Friday,5:36:00,202202-0382,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,Purok Jusuda 2,123.28373,9.305692,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"On the abovementioned place, time and date, joint operatives of the Provincial Drug Enforcement Unit (PDEU), Provincial Intelligence Unit (PIU), Regional Drug Enforcement Unit 7 (RDEU 7), and Dumaguete CPS with PDEA coordination No. 20002-022022-0567 implemented a Search Warrant 
1.	Six (6) pieces heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as follows CJMS-SW1 to CJMS-SW6 all with 02/25/2022 JUNOB, DGTE. CITY AKV and signature; 
2.	Several pieces of drug paraphernalia;

",,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-14,Monday,6:45:00,202202-0383,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 4 (Barangay 4),"Bully Bar, No. 42 Rizal Boulevard",123.309464,9.3089,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,1,(Commercial-Business Establishments) - Office ,,
2022-02-25,Friday,10:42:00,202202-0387,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311226,9.314696,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards color combination Blue and Red; and
                   b.) Bet money amounting to Two Hundred Ninety Pesos (Php 290.00).	

",Php 290.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-02-25,Friday,10:58:00,202202-0388,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311325,9.314553,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards color combination Blue and Red; and
                   b.) Bet money amounting to Two Hundred Sixty Five Pesos (Php 265.00).	

",Php 265.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-02-25,Friday,11:19:00,202202-0389,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311348,9.314712,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"
	Confiscated pieces of evidence were:
		a.) 1 Set playing cards color combination Blue and Red; and
                   b.) Bet money amounting to Two Hundred Seventy Pesos (Php 270.00).	

",Php 270.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-02-25,Friday,21:40:00,Traf(138)013,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 5 (Barangay 5),"Silliman Avenue T Junction, Rizal Boulevard",123.307518,9.310366,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,Yes (not rel. to RA 7610),,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-25,Friday,21:40:00,Traf(138)013,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 5 (Barangay 5),"Silliman Avenue T Junction, Rizal Boulevard",123.307518,9.310366,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,Yes (not rel. to RA 7610),,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-25,Friday,22:52:00,202202-0393,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.309441,9.314897,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"

Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
b. ) One (1) pcs. elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 0.24 grams with  SDP value of 1,635.00; and
c.) One (1)  genuine Five hundred Peso bill (Php 500.00 ).

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-25,Friday,22:52:00,202202-0393,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.309441,9.314897,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
b. ) One (1) pcs. elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 0.24 grams with  SDP value of 1,635.00; and
c.) One (1)  genuine Five hundred Peso bill (Php 500.00 ).

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-05,Saturday,18:00:00,W-0001,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Balugo,Purok Santol,123.298027,9.302526,NON-INDEX CRIME,,SPECIALLAWS,RA 7610 (CHILD ABUSE),Viol. of RA 7610 (Psychological Abuse),,Yes(RA 7610),,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-27,Sunday,19:00:00,W-0002,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Piapi,,123.312401,9.320427,NON-INDEX CRIME,,SPECIALLAWS,RA 9262 (VAWC),Viol. of RA 9262 (Psychological Abuse),,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-03,Monday,,202202-0316,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Vallacar Transit Inc.,123.308968,9.300253,NON-INDEX CRIME,,OTHERNONINDEX,Estafa,Collection sum of money,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Commercial-Business Establishments) - Office ,,
2022-03-04,Friday,16:30:00,Traf(138)019,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,"Along Brgy. Road, Sto. Rosario Heights",123.284966,9.297025,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys,,
2022-03-05,Saturday,23:54:00,202203-0524,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311302,9.314596,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"

Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
b. ) Two (2) pcs. elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 0.24 grams with  SDP value of 1,020.00; and
c.) One (1) genuine Five hundred Peso bill (Php 500.00 ).

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-03-05,Saturday,23:54:00,202203-0524,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311302,9.314596,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
b. ) Two (2) pcs. elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 0.24 grams with  SDP value of 1,020.00; and
c.) One (1) genuine Five hundred Peso bill (Php 500.00 ).

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-03-05,Saturday,12:00:00,Traf(138)021,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bunao,,123.293388,9.329862,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-03-06,Sunday,11:35:00,Traf(138)022,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Talay,Y Junction Talay and Cantil-e Road,123.276115,9.28826,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-03-06,Sunday,11:35:00,Traf(138)022,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Talay,Y Junction Talay and Cantil-e Road,123.276115,9.28826,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
